sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
141;BME280;65;48.779;9.160;2017-07-01T02:38:57;97858.75;;;18.16;62.33
141;BME280;65;48.779;9.160;2017-07-01T02:41:22;97863.60;;;18.02;62.91
141;BME280;65;48.779;9.160;2017-07-01T02:43:48;97863.59;;;18.07;63.02
141;BME280;65;48.779;9.160;2017-07-01T02:46:19;97860.22;;;18.01;63.39
141;BME280;65;48.779;9.160;2017-07-01T02:49:07;97860.22;;;18.01;63.48
141;BME280;65;48.779;9.160;2017-07-01T02:51:42;97866.72;;;18.06;63.87
141;BME280;65;48.779;9.160;2017-07-01T02:54:02;97870.12;;;18.08;62.98
141;BME280;65;48.779;9.160;2017-07-01T02:56:35;97873.48;;;18.00;63.64
141;BME280;65;48.779;9.160;2017-07-01T02:59:14;97872.66;;;18.08;62.82
141;BME280;65;48.779;9.160;2017-07-01T03:01:27;97872.41;;;18.02;63.60
141;BME280;65;48.779;9.160;2017-07-01T03:03:54;97876.95;;;18.01;63.39
141;BME280;65;48.779;9.160;2017-07-01T03:06:18;97875.91;;;17.79;64.57
141;BME280;65;48.779;9.160;2017-07-01T03:08:44;97879.67;;;17.67;64.98
141;BME280;65;48.779;9.160;2017-07-01T03:11:10;97885.33;;;17.82;64.41
141;BME280;65;48.779;9.160;2017-07-01T03:13:36;97886.73;;;17.95;63.98
141;BME280;65;48.779;9.160;2017-07-01T03:16:03;97885.62;;;17.79;64.64
141;BME280;65;48.779;9.160;2017-07-01T03:18:28;97882.40;;;17.85;64.09
141;BME280;65;48.779;9.160;2017-07-01T03:20:54;97888.22;;;17.88;65.51
141;BME280;65;48.779;9.160;2017-07-01T03:23:22;97885.22;;;17.92;64.06
141;BME280;65;48.779;9.160;2017-07-01T03:25:58;97881.63;;;17.93;64.13
141;BME280;65;48.779;9.160;2017-07-01T03:28:23;97891.81;;;17.97;64.36
141;BME280;65;48.779;9.160;2017-07-01T03:30:49;97888.59;;;17.98;64.62
141;BME280;65;48.779;9.160;2017-07-01T03:33:14;97893.09;;;18.02;64.01
141;BME280;65;48.779;9.160;2017-07-01T03:35:40;97894.23;;;17.99;64.38
141;BME280;65;48.779;9.160;2017-07-01T03:43:50;97904.87;;;17.89;64.98
141;BME280;65;48.779;9.160;2017-07-01T03:46:19;97909.53;;;17.76;65.41
141;BME280;65;48.779;9.160;2017-07-01T03:49:26;97908.70;;;17.86;65.19
141;BME280;65;48.779;9.160;2017-07-01T03:51:30;97912.95;;;17.82;65.07
141;BME280;65;48.779;9.160;2017-07-01T03:53:58;97908.77;;;17.85;65.31
141;BME280;65;48.779;9.160;2017-07-01T03:56:20;97904.55;;;18.01;64.29
141;BME280;65;48.779;9.160;2017-07-01T03:58:48;97907.29;;;17.91;64.91
141;BME280;65;48.779;9.160;2017-07-01T04:01:18;97913.78;;;17.83;65.46
141;BME280;65;48.779;9.160;2017-07-01T04:03:38;97909.83;;;17.83;65.76
141;BME280;65;48.779;9.160;2017-07-01T04:06:03;97914.66;;;17.88;65.15
